State_FIPS_Code,County_FIPS_Code,CHSI_County_Name,CHSI_State_Name,CHSI_State_Abbr,Strata_ID_Number,No_Exercise,CI_Min_No_Exercise,CI_Max_No_Exercise,Few_Fruit_Veg,CI_Min_Fruit_Veg,CI_Max_Fruit_Veg,Obesity,CI_Min_Obesity,CI_Max_Obesity,High_Blood_Pres,CI_Min_High_Blood_Pres,CI_Max_High_Blood_Pres,Smoker,CI_Min_Smoker,CI_Max_Smoker,Diabetes,CI_Min_Diabetes,CI_Max_Diabetes,Uninsured,Elderly_Medicare,Disabled_Medicare,Prim_Care_Phys_Rate,Dentist_Rate,Community_Health_Center_Ind,HPSA_Ind
01,001,Autauga,Alabama,AL,29,27.8,20.7,34.9,78.6,69.4,87.8,24.5,17.3,31.7,29.1,19.2,39,26.6,19.1,34,14.2,9.1,19.3,5690,4762,1209,45.3,22.6,1,2
01,003,Baldwin,Alabama,AL,16,27.2,23.2,31.2,76.2,71.2,81.3,23.6,19.5,27.6,30.5,24.5,36.6,24.6,20.3,28.8,7.2,5.2,9.3,19798,22635,3839,67,30.8,1,2
01,005,Barbour,Alabama,AL,51,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,25.6,16.2,35,-1111.1,-1111.1,-1111.1,17.7,10.2,25.1,6.6,2,11.3,5126,3288,1092,45.8,24.6,1,2
01,007,Bibb,Alabama,AL,42,-1111.1,-1111.1,-1111.1,86.6,77.8,95.4,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,13.1,4.7,21.5,3315,2390,974,41.8,18.6,1,1
01,009,Blount,Alabama,AL,28,33.5,26.3,40.6,74.6,66.1,83,24.2,17.2,31.2,-1111.1,-1111.1,-1111.1,23.6,16.7,30.4,8.4,4.4,12.4,8131,5019,1300,16.2,10.8,2,1
01,011,Bullock,Alabama,AL,75,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,2295,1433,504,54.3,18.1,1,1
01,013,Butler,Alabama,AL,76,24.5,15.5,33.5,-1111.1,-1111.1,-1111.1,22,13,31,-1111.1,-1111.1,-1111.1,27.3,17.6,37,9.5,4.4,14.6,4055,3150,952,43.3,19.3,1,2
01,015,Calhoun,Alabama,AL,6,29.2,25.1,33.3,81.9,77.2,86.7,27,22.8,31.1,33.2,26.9,39.6,25.5,21.3,29.7,11.2,8.4,13.9,16456,16440,5301,75.8,41.9,1,2
01,017,Chambers,Alabama,AL,50,34.7,25.3,44,84.6,75.4,93.7,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,11.7,6.2,17.1,17.1,10.2,24.1,5533,5473,1497,53.6,22.6,1,2
01,019,Cherokee,Alabama,AL,64,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,23.6,14.2,33,13.3,6.8,19.8,3583,3086,854,28.5,12.2,2,1
