STATIONS_ID MESS_DATUM_BEGINN MESS_DATUM_ENDE QN_4 MO_N MO_TT MO_TX MO_TN MO_FK MX_TX MX_FX MX_TN MO_SD_S QN_6 MO_RR MX_RS eor
3987 18930101 18930131 5 5.34 -8.2 -4.7 -12.8 3.55 6.5 NA -25.7 78.7 5 27.7 6.2 eor
3987 18930201 18930228 5 6.53 1.8 4.8 -1.2 3.94 14.3 NA -13.2 55 5 79.6 13.8 eor
3987 18930301 18930331 5 5.19 4.5 9 0.7 4.28 18.2 NA -4.7 135 5 26.2 3.6 eor
3987 18930401 18930430 5 3.03 8.5 14.7 2.7 3.06 22.2 NA -3.5 258.9 5 1 0.7 eor
3987 18930501 18930531 5 4.86 12.7 18.1 7.5 3 30.4 NA 1.6 232.8 5 17 4.4 eor
3987 18930601 18930630 5 4.1 16.4 22.1 10.2 2.36 30.5 NA 4.6 283.8 5 36.2 8.9 eor
3987 18930701 18930731 5 4.85 18.3 24 12.9 2.61 32.1 NA 8.1 227.4 5 67.8 34.2 eor
3987 18930801 18930831 5 4.06 17.2 22.9 12.5 2.94 33 NA 8.2 242.3 5 36.6 12.3 eor
3987 18930901 18930930 5 4.99 12.7 17.9 8.4 3.34 24.5 NA 3.1 142.7 5 35.4 11.1 eor
3987 18931001 18931031 5 5.97 10.5 14.1 7.6 3.36 25 NA 0 70.3 5 78.9 13.6 eor
3987 18931101 18931130 5 6.49 2.4 4.9 -0.2 3.28 12.5 NA -5.9 62.2 5 71.2 22.6 eor
3987 18931201 18931231 5 5.72 0.8 3.1 -1.6 3.63 8.9 NA -6.8 78.4 5 21.1 7.4 eor
3987 18940101 18940131 5 4.57 -1.5 1.2 -4.4 4.19 7 NA -18.9 77 5 18.9 6.9 eor
3987 18940201 18940228 5 5.59 2.4 5.4 -0.5 4.79 11.1 NA -8.8 82.7 5 48.6 15.4 eor
3987 18940301 18940331 5 4.68 5.3 9.9 1.4 3.22 20.1 NA -3 136.9 5 29.9 7.9 eor
3987 18940401 18940430 5 5.01 10.1 15.4 5.5 2.5 23.6 NA 0.1 167.5 5 38.2 14.3 eor
3987 18940501 18940531 5 4.95 12 17.3 7.3 2.89 26.6 NA 1.7 234.2 5 46.7 9.9 eor
3987 18940601 18940630 5 5.76 14.5 19.3 10.6 3.42 28.2 NA 7.1 178.6 5 95.1 19.3 eor
3987 18940701 18940731 5 4.91 19 24.9 13.9 2.71 35.8 NA 10 252.9 5 61.4 21 eor
3987 18940801 18940831 5 5.72 15.5 20.1 12 3.34 29.8 NA 8.8 154 5 134.6 39.2 eor
3987 18940901 18940930 5 4.83 11.1 16.4 7.6 3.02 22.9 NA 3.2 151.1 5 36.1 14.6 eor
3987 18941001 18941031 5 6.54 7.7 11.2 4.8 2.95 15.4 NA -1 48.3 5 55.1 18.2 eor
3987 18941101 18941130 5 6.11 5 7.6 2.7 3.01 15.4 NA -2.5 43.5 5 19.8 5.9 eor
3987 18941201 18941231 5 5.79 0.3 2.4 -1.9 3.2 6.7 NA -7.7 53.9 5 40.1 13.6 eor
3987 18950101 18950131 5 6.59 -3.5 -0.9 -6.5 2.58 6.4 NA -16.5 32.7 5 56 7.6 eor
