STATIONS_ID MESS_DATUM_BEGINN MESS_DATUM_ENDE QN_4 MO_N MO_TT MO_TX MO_TN MO_FK MX_TX MX_FX MX_TN MO_SD_S QN_6 MO_RR MX_RS eor
5792 19000801 19000831 5 5.66 1.79 4.96 -1.35 2.9 12.6 NA -6.8 121.4 NA NA NA eor
5792 19000901 19000930 5 4.13 2.14 5.13 -1.05 3.01 9.7 NA -7.8 175 NA NA NA eor
5792 19001001 19001031 5 4.46 -3.03 -0.4 -6.61 3.71 7 NA -14.6 150.1 NA NA NA eor
5792 19001101 19001130 5 4.75 -5.14 -2.85 -7.17 2.92 2 NA -12.6 88 NA NA NA eor
5792 19001201 19001231 5 4.05 -6.54 -3.8 -9.61 3.12 0.9 NA -16 111.2 NA NA NA eor
5792 19010101 19010131 5 3.17 -10.93 -7.65 -13.67 3.79 -0.8 NA -26.2 152 5 56.9 19.3 eor
5792 19010201 19010228 5 3.83 -15.73 -12.56 -19.06 3.23 -4 NA -29.4 126 5 67.3 20.4 eor
5792 19010301 19010331 5 5.64 -10.56 -7.31 -13.62 4.48 -2.2 NA -23.6 101.6 5 170.8 35.5 eor
5792 19010401 19010430 5 4.73 -6.84 -4.94 -8.87 3.96 -0.2 NA -16.4 130.7 5 157.5 30.9 eor
5792 19010501 19010531 5 4.81 -4.07 -2.5 -5.67 2.29 5.4 NA -11.7 140 5 104.3 24.5 eor
5792 19010601 19010630 5 5.86 0.31 2.19 -1.69 3.07 7.4 NA -9.8 112.3 5 198.8 35.8 eor
5792 19010701 19010731 5 6.08 1.68 3.66 -0.06 2.74 7.3 NA -2.9 90.4 5 127.7 16.9 eor
5792 19010801 19010831 5 5.44 1.67 4.07 -0.34 2.79 11.4 NA -7.7 149.2 5 220.7 37.2 eor
5792 19010901 19010930 5 5.24 1.15 3.18 -0.4 3.04 7.4 NA -5.4 108 5 105.9 35.1 eor
5792 19011001 19011031 5 4.09 -3.15 -0.87 -4.75 4.05 5.2 NA -13.2 149.2 5 109 55 eor
5792 19011101 19011130 5 3.16 -8.6 -6.16 -11.02 4.62 2.1 NA -21 148.9 5 79.3 28.9 eor
5792 19011201 19011231 5 5.03 -10.29 -8.08 -12.75 5.83 -2.2 NA -19 61.4 5 89.9 24.6 eor
5792 19020101 19020131 5 4.37 -10.43 -8.14 -13.12 5.29 -1.5 NA -23.8 118.4 5 64.7 8.7 eor
5792 19020201 19020228 5 5.03 -9.96 -7.71 -12.32 5.53 -2.5 NA -17.8 56.2 5 22.9 7.9 eor
5792 19020301 19020331 5 4.57 -10.9 -8.37 -13.29 6.07 -1.5 NA -21.1 137.5 5 99.1 18.7 eor
5792 19020401 19020430 5 5.44 -4.72 -1.86 -7.09 3.3 2.1 NA -15.4 103.4 5 45.2 11.7 eor
5792 19020501 19020531 5 6.84 -7.98 -5.53 -10.19 5.73 3.5 NA -15.9 57 5 257.3 40.2 eor
5792 19020601 19020630 5 5.71 -1.3 1.28 -3.72 4.32 9.2 NA -10 120.9 5 194.9 27.4 eor
5792 19020701 19020731 5 5.58 1.74 4.31 -0.42 4.43 11.5 NA -5.6 137.6 5 77.4 15.1 eor
5792 19020801 19020831 5 5.8 1.26 3.96 -0.83 4.71 9.3 NA -8.3 99.8 5 113.8 14.2 eor
5792 19020901 19020930 5 3.49 0.12 3.67 -3.17 2.97 13 NA -8.9 210.1 5 87.2 23.5 eor
5792 19021001 19021031 5 4.94 -4.33 -1.7 -7.2 3.64 5.6 NA -13.1 125.4 5 166.9 19.8 eor
