K	L	M
23.9	30.97	27.16
18.55	13.43	25.54
32.49	17.64	22.69
29.36	24.01	15.47
20.49	33.86	25.72
22.16	22	10.85
25.57	18.48	27.15
21.69	29.1	23.33
22.31	19.24	17.78
23.46	21.8	21.65
21.69	17.58	18.05
21.28	26.03	13.93
20.04	18.96	27.16
23.42	31.49	16.5
41.13	27.6	29.05
28.05	24.19	18.61
20.04	20.76	20.98
32.81	19.57	30.84
16.81	23.7	13.64
23.32	27	26.74
17.53	17.14	18.76
15.05	25.65	21.85
19.31	24.31	19.16
20.4	24.74	24.35
18.96	22.86	9.84
18.08	18.76	19.27
23.57	22.38	19.49
40.76	19.82	16.84
17.24	18.51	22.11
17.07	28.06	15.83
22.84	31.77	17.52
19.48	22.26	17.16
29.86	27.29	25.24
14.37	19.86	21.21
17.95	22.95	17.65
18.14	28.44	26.41
21.43	27.18	24.22
26.15	27.9	24.79
18.28	24.08	21.63
18.5	13.15	29.02
29.45	11	12.46
20.88	21.96	15.96
42.18	26.6	13.56
16.29	29.34	14.53
35.69	19.33	16.73
15.51	27.06	24.15
23.12	21.58	16.17
20.37	18.5	18.48
19.35	28.03	22.38
27.21	16.02	15.75
20.78	13.86	25.03
23.37	16.12	16.6
18.85	27.13	31.48
16.69	24.22	18.32
23.56	32.13	14.34
29.82	27.13	13.88
19.51	20.22	22.4
24.09	24.08	17.94
17.94	21.32	16.55
17.35	25.71	23.54
21.64	21.93	18.43
20.49	23.92	30.81
18.39	13.99	4.72
15.08	17.9	25.6
16.42	30.19	21.63
15.53	25.89	11.51
17.17	22.68	27.21
16.08	14.74	27.77
25.42	18.1	27.97
20.57	16.99	35.56
15.61	22.59	18.3
17.34	21.92	18.17
23.37	26.12	13.67
28.34	17.53	17.36
21.67	22.22	27.34
18.37	25.11	23.29
33.86	26.3	23.23
20.08	29.03	30.84
29.3	21.82	32.02
21.17	16.68	27.02
19.59	22.48	21.1
21.24	17.22	24.36
22.39	21.13	22.77
14.5	20.18	19.67
30.64	22.87	16.45
16.19	25.36	23.69
14.5	19.43	14.4
26.06	22.45	15.13
30.16	16.96	15.48
32.06	16.19	26.33
24.76	15.22	27.22
21.18	27.95	21.8
26.02	32.75	32.48
17.34	31.1	19.48
18.24	21.67	22.12
17.71	21.62	20.12
21.04	15.62	27.95
16.54	29.87	30.05
19.7	19.4	27.04
33.94	17.76	21.88
34.21	25.69	16.36
16.76	27.25	27.21
25.21	23.31	30.89
35.96	26.12	11.11
29.06	25.09	36.43
16.67	15.5	24.89
14.06	24.17	18.21
18.34	10.6	12.85
27.54	28.43	29.09
21.41	32.28	21.25
34.45	22.48	29.67
29.79	20.51	15.56
17.15	26.11	20.66
28.44	20.86	21.76
17.68	22.23	24.91
19.05	22.86	17.78
15.87	22.98	28
18.69	26.48	16.9
32.81	20.11	26.32
32.25	22.73	25.34
17.27	32.65	25.9
18.87	24.12	16
27.51	24.04	23.09
17.09	23.05	20.94
17.75	33.63	14.12
13.88	26.95	16.43
36.4	20.66	21.42
25.14	21.07	25.77
26.79	11.64	27.66
16.79	24.22	15.87
15.19	17.23	33.06
14.9	21.54	21.55
22.18	27.74	21.98
17.44	16.42	15.76
20.39	15.31	21.37
20.1	22.82	27.96
56.26	16.19	8.55
18.9	26.57	14.9
18.29	17.25	21.84
13.68	20.83	12.44
52.19	25.45	23.84
22.62	20.48	14.45
19.11	24.76	16.55
28.5	19.84	20.16
17.34	20.5	26.48
16.09	22.58	22.14
16.44	26.13	34.09
22.61	22.94	29.63
25.56	25.34	27.77
14.72	27.89	29.37
17.71	22.03	22.3
25.54	20.43	22.95
26.21	14.15	22.4
24.28	22.72	20.33
20.72	27.63	12.63
17.83	20.14	22.69
22.03	9.74	14.04
27.7	20.5	14.28
15.82	34.53	33.61
19.65	21.73	24.95
18.01	22.56	25.06
16.96	23.26	22.11
15.87	16.95	30.13
38.91	19.41	21.81
14.89	22.08	23.62
19.92	24.9	11.72
17.47	29.59	20.51
13.52	25.56	29.14
27.59	24.43	21.62
23.44	27.47	26.45
20.41	15.39	15.39
20.39	14.58	10.4
20.23	25.8	13.94
16.38	31.5	13.41
21.97	21.25	21.96
15.45	21.65	17.7
23.26	17.81	25.38
17.39	18.35	27.98
20	22.63	24.28
29.04	15.36	20.93
21.02	30.49	26.41
23.97	19.96	19.43
36.77	12.84	20.78
15.17	25.41	30.94
28.6	23.07	14.59
18.78	29.38	19.81
36.96	18.14	20.22
21.28	24.09	11.96
16.15	22.65	16.63
21.7	17.93	17.63
28.52	7.13	6.51
16.78	20.26	23.7
19.58	25.26	14.9
21.69	25.25	15.87
19.64	15.41	15.36
19.57	12	29.28
25.71	15.19	25.47
16.6	30.87	19.98
21.86	28.55	26.07
16.98	19.53	14.02
26.72	20.69	20.85
17.2	30.79	29.65
22.53	23.39	20.32
23.35	23.4	15.18
26.53	18.99	18.14
27.45	28.89	24.99
25.71	24.96	18.69
16.84	22.56	15.11
17.89	22.56	22.92
14.11	13.49	33.67
23.03	20.59	23.93
16.19	19.36	25.95
26.18	25.67	25.84
28.36	27.07	15.26
22.18	23.95	25.66
15.73	22.32	20.29
18.75	17.92	28.26
26.72	25.9	28.34
20.05	28.83	32.45
23.73	33.29	9.47
31.17	24.37	21.17
21.12	28.03	12.98
34.59	6.85	25.76
20.38	25.78	39.63
20.8	16.16	21
13.47	27.02	27.21
18.25	21.4	20.28
22.29	24.35	24.45
39.17	20.66	22.1
17.78	25.3	15.4
15	21.55	16.29
20.41	34.43	21.88
21.97	20.9	31.57
15.06	28.49	22.21
14.28	19.11	23.95
17.14	20.86	26.2
15.4	14.45	25.44
24.95	9.45	17.66
23.02	22.86	26.23
28.81	21.36	18.68
29.25	29.51	18.69
24.73	19.99	12.51
17.95	28.87	23.59
22.54	19.62	24.29
15.89	21.51	18.09
19.22	32.97	22.93
17.56	20.48	13.93
21.09	16.1	17.18
16.47	22.15	22.87
44.7	26.3	30.55
26.96	18.84	10.32
17.52	24.12	32.19
24.21	32.54	17.14
19.83	22.83	28.22
