pesticide yield field
0.23 26.9 1
0.32 30.3 1
0.86 28.3 1
0.91 30.3 1
1.04 27.9 1
1.18 26.2 1
1.38 26.7 1
1.62 25.8 1
1.7 24.6 1
1.97 23.7 1
1.16 31.3 2
1.34 31.3 2
1.46 31.9 2
1.93 29.6 2
1.98 27.8 2
2.21 27.8 2
2.23 29.1 2
2.26 28.2 2
2.5 26.9 2
2.9 24.2 2
2.3 31.2 3
2.33 32.2 3
2.48 33.2 3
2.67 31.2 3
2.75 32.6 3
2.97 31.8 3
3.48 29.7 3
3.55 28.6 3
3.64 29.9 3
3.93 28.4 3
3.18 35.6 4
3.4 33.3 4
3.79 34.3 4
3.91 31.6 4
4.25 31.6 4
4.26 31.7 4
4.27 32.6 4
4.56 32.1 4
4.56 31.1 4
4.71 31.9 4
4.24 37.2 5
4.25 36.5 5
4.35 35.8 5
4.49 37.3 5
4.89 36.1 5
4.9 37.2 5
5.01 35.5 5
5.18 33.6 5
5.6 33.2 5
5.85 30.6 5
5.02 43.2 6
5.26 39.1 6
5.37 36.7 6
5.71 38.4 6
5.85 38.1 6
5.99 37.6 6
6.11 37.2 6
6.66 35.2 6
6.91 33.6 6
6.97 35.8 6
6.09 41.2 7
6.16 41.1 7
6.17 42.5 7
6.21 42.5 7
6.24 41.3 7
6.56 41.8 7
6.63 40.5 7
7.51 39 7
7.59 36.7 7
7.8 38.2 7
7.14 44.5 8
7.34 43.4 8
7.55 40.6 8
7.8 41.1 8
7.97 40.8 8
8.23 39.5 8
8.49 39.2 8
8.65 39.6 8
8.71 38.9 8
8.95 36.9 8
8.39 43.5 9
8.45 44.5 9
8.97 43.1 9
9.09 42.6 9
9.19 42.9 9
9.3 42.8 9
9.45 38 9
9.48 41.7 9
9.75 40.9 9
9.89 40.1 9
9.01 50 10
9.03 48.5 10
9.27 48.3 10
9.58 47 10
9.68 45.5 10
10.07 43.5 10
10.17 45.3 10
10.46 43.7 10
10.46 44.7 10
10.9 42.3 10
10.09 50.3 11
10.49 47.5 11
10.56 49.1 11
10.62 46.3 11
10.94 47.5 11
11.06 47.3 11
11.07 46.2 11
11.14 46.5 11
11.19 47 11
11.46 45.7 11
11.1 54 12
11.25 51.1 12
11.27 49.1 12
11.4 49.9 12
11.5 49.7 12
11.91 48.9 12
12.02 49.8 12
12.19 49.1 12
12.51 48.7 12
12.86 46.5 12
12.11 53.6 13
12.22 55.4 13
12.64 53.3 13
12.96 48.7 13
12.98 51.6 13
13.15 49.6 13
13.21 49.2 13
13.23 51.4 13
13.52 49.4 13
13.83 48.8 13
13.02 55 14
13.07 55.8 14
13.54 55.7 14
13.71 53.5 14
14.02 52.4 14
14.09 52.6 14
14.15 52.9 14
14.55 51.2 14
14.6 50.3 14
14.93 50.8 14
14.27 59.4 15
14.47 56.1 15
14.51 56.7 15
15.03 55.2 15
15.19 54.4 15
15.28 53.5 15
15.49 52.8 15
15.89 54.2 15
15.91 51.5 15
15.92 53 15
15.06 60.5 16
15.36 59.2 16
15.95 57.6 16
16.06 55.1 16
16.22 58.9 16
16.33 57.1 16
16.36 56.5 16
16.76 55.2 16
16.83 54.5 16
16.97 52.7 16
16.24 61 17
16.24 60.7 17
16.25 62 17
16.63 59.1 17
16.78 60.3 17
16.82 61.5 17
16.91 59.8 17
17.03 58.7 17
17.6 57.6 17
17.82 57 17
17.15 64.2 18
17.46 63.1 18
18.07 59.7 18
18.53 58.9 18
18.57 58.8 18
18.8 57.5 18
18.86 59.5 18
18.9 56.8 18
18.9 59.3 18
18.94 58.4 18
18.01 65.4 19
18.28 64.2 19
18.47 65.5 19
18.58 65.1 19
18.81 65.4 19
19.33 61.8 19
19.46 61.3 19
19.53 63.2 19
19.68 61.3 19
19.69 62.9 19
19.17 67.9 20
19.29 67.1 20
19.36 66.1 20
19.51 65.7 20
19.88 66.1 20
19.92 65.4 20
20.4 64.9 20
20.7 62.3 20
20.78 62.2 20
20.96 62 20
20.09 69.8 21
20.1 69.8 21
20.25 71.7 21
20.65 68 21
20.72 66.8 21
21.27 67.1 21
21.34 65.2 21
21.61 64.5 21
21.79 66.6 21
21.91 65.7 21
21.25 70.7 22
21.32 71.9 22
21.34 71.1 22
21.54 69.6 22
21.75 68.6 22
22.48 66.1 22
22.71 66.5 22
22.77 66.9 22
22.83 63.8 22
22.84 67.3 22
22.29 74.8 23
22.65 71.1 23
22.97 70.4 23
23.02 71.5 23
23.12 69.5 23
23.24 71.3 23
23.41 69.8 23
23.77 66.5 23
23.93 67.8 23
23.97 68.8 23
23.04 75.4 24
23.09 75.5 24
23.16 73.7 24
23.23 75.3 24
23.71 73.6 24
24 73.3 24
24.41 73.7 24
24.49 71.1 24
24.53 70.7 24
24.7 69 24
24.03 78.5 25
24.12 76.9 25
24.26 77.1 25
24.68 76.1 25
25 75.5 25
25 75.5 25
25.1 75.3 25
25.75 73.5 25
25.76 71.8 25
25.78 73.3 25
25.55 78.4 26
