"Index" "AAPL.Adjusted"
2007-01-03 10.960147
2007-01-04 11.203415
2007-01-05 11.123633
2007-01-08 11.178565
2007-01-09 12.107169
2007-01-10 12.686566
2007-01-11 12.529619
2007-01-12 12.375288
2007-01-16 12.699645
2007-01-17 12.418447
2007-01-18 11.649407
2007-01-19 11.574857
2007-01-22 11.351206
2007-01-23 11.208646
2007-01-24 11.339436
2007-01-25 11.28058
2007-01-26 11.166794
2007-01-29 11.240036
2007-01-30 11.189028
2007-01-31 11.21257
2007-02-01 11.083088
2007-02-02 11.084396
2007-02-05 10.978457
2007-02-06 11.005922
2007-02-07 11.267502
2007-02-08 11.271426
2007-02-09 10.890829
2007-02-12 11.101399
2007-02-13 11.077857
2007-02-14 11.156331
2007-02-15 11.14456
2007-02-16 11.09486
2007-02-20 11.234804
2007-02-21 11.666409
2007-02-22 11.706954
2007-02-23 11.649407
2007-02-26 11.576165
2007-02-27 10.977149
2007-02-28 11.066086
2007-03-01 11.38652
2007-03-02 11.170717
2007-03-05 11.289736
2007-03-06 11.534312
2007-03-07 11.472841
2007-03-08 11.509462
2007-03-09 11.505538
2007-03-12 11.754038
2007-03-13 11.561778
2007-03-14 11.77104
2007-03-15 11.714801
2007-03-16 11.717417
2007-03-19 11.918833
2007-03-20 11.964608
2007-03-21 12.277195
2007-03-22 12.288966
2007-03-23 12.231419
2007-03-26 12.536158
2007-03-27 12.485151
2007-03-28 12.194798
2007-03-29 12.261501
2007-03-30 12.151637
2007-04-02 12.248422
2007-04-03 12.359593
2007-04-04 12.329511
2007-04-05 12.383134
2007-04-09 12.248422
2007-04-10 12.326895
2007-04-11 12.109785
2007-04-12 12.057469
2007-04-13 11.80243
2007-04-16 11.95807
2007-04-17 11.816817
2007-04-18 11.823356
2007-04-19 11.806354
2007-04-20 11.897906
2007-04-23 12.230111
2007-04-24 12.194798
2007-04-25 12.470763
2007-04-26 12.927218
2007-04-27 13.06847
2007-04-30 13.052776
2007-05-01 13.009616
2007-05-02 13.129942
2007-05-03 13.13125
2007-05-04 13.184873
2007-05-07 13.591628
2007-05-08 13.740728
2007-05-09 13.978765
2007-05-10 14.038928
2007-05-11 14.222033
2007-05-14 14.303122
2007-05-15 14.062469
2007-05-16 14.038928
2007-05-17 14.313586
2007-05-18 14.389443
2007-05-21 14.64579
2007-05-22 14.849821
2007-05-23 14.764808
2007-05-24 14.477072
2007-05-25 14.860284
2007-05-29 14.955761
2007-05-30 15.533849
2007-05-31 15.85036
2007-06-01 15.485458
2007-06-04 15.868671
2007-06-05 16.043929
2007-06-06 16.170794
2007-06-07 16.227033
2007-06-08 16.281966
2007-06-11 15.719571
2007-06-12 15.744421
2007-06-13 15.367748
2007-06-14 15.531233
2007-06-15 15.760115
2007-06-18 16.360439
2007-06-19 16.17341
2007-06-20 15.897445
2007-06-21 16.2048
2007-06-22 16.087089
2007-06-25 16.000767
2007-06-26 15.648945
2007-06-27 15.941913
2007-06-28 15.767962
2007-06-29 15.961531
2007-07-02 15.859515
2007-07-03 16.63248
2007-07-05 17.362284
2007-07-06 17.303429
2007-07-09 17.045775
2007-07-10 17.309969
2007-07-11 17.315201
2007-07-12 17.534926
2007-07-13 18.013616
2007-07-16 18.062007
2007-07-17 18.167947
2007-07-18 18.064623
2007-07-19 18.310508
2007-07-20 18.800968
2007-07-23 18.794429
2007-07-24 17.642174
2007-07-25 17.952145
2007-07-26 19.095244
2007-07-27 18.814046
2007-07-30 18.497537
2007-07-31 17.232803
2007-08-01 17.656562
2007-08-02 17.851437
2007-08-03 17.244574
2007-08-06 17.689258
2007-08-07 17.660485
2007-08-08 17.527079
2007-08-09 16.530464
2007-08-10 16.348668
2007-08-13 16.71357
2007-08-14 16.221801
2007-08-15 15.681641
2007-08-16 15.308892
2007-08-17 15.964147
2007-08-20 15.985072
2007-08-21 16.684796
2007-08-22 17.330896
2007-08-23 17.142558
2007-08-24 17.695798
2007-08-27 17.29689
2007-08-28 16.586705
2007-08-29 17.536234
2007-08-30 17.820047
2007-08-31 18.111708
2007-09-04 18.854591
2007-09-05 17.886751
2007-09-06 17.65787
2007-09-07 17.234111
2007-09-10 17.880211
2007-09-11 17.720648
2007-09-12 17.89852
2007-09-13 17.944298
2007-09-14 18.154868
2007-09-17 18.102553
2007-09-18 18.430833
2007-09-19 18.411216
2007-09-20 18.351051
2007-09-21 18.853283
2007-09-24 19.393444
2007-09-25 20.03431
2007-09-26 19.980687
2007-09-27 20.206953
2007-09-28 20.07224
2007-10-01 20.447605
2007-10-02 20.72357
2007-10-03 20.654252
2007-10-04 20.434526
2007-10-05 21.115938
2007-10-08 21.960838
2007-10-09 21.954298
2007-10-10 21.814354
2007-10-11 21.217955
2007-10-12 21.874517
2007-10-15 21.839204
2007-10-16 22.179256
2007-10-17 22.593859
2007-10-18 22.691951
2007-10-19 22.28912
2007-10-22 22.804429
2007-10-23 24.347744
2007-10-24 24.317661
2007-10-25 23.905676
2007-10-26 24.15679
2007-10-29 24.207799
2007-10-30 24.457606
2007-10-31 24.843434
2007-11-01 24.515154
2007-11-02 24.571393
2007-11-05 24.35036
2007-11-06 25.084087
2007-11-07 24.366055
2007-11-08 22.949605
2007-11-09 21.628634
2007-11-12 20.110168
2007-11-13 22.228957
2007-11-14 21.725417
2007-11-15 21.488688
2007-11-16 21.762039
