"Index" "AMZN.Adjusted"
2007-01-03 38.700001
2007-01-04 38.900002
2007-01-05 38.369999
2007-01-08 37.5
2007-01-09 37.779999
2007-01-10 37.150002
2007-01-11 37.400002
2007-01-12 38.200001
2007-01-16 38.66
2007-01-17 37.880001
2007-01-18 36.98
2007-01-19 37.02
2007-01-22 36.950001
2007-01-23 36.43
2007-01-24 37.259998
2007-01-25 37.080002
2007-01-26 36.849998
2007-01-29 37.43
2007-01-30 37.049999
2007-01-31 37.669998
2007-02-01 38.700001
2007-02-02 37.389999
2007-02-05 37.16
2007-02-06 38.27
2007-02-07 38.98
2007-02-08 39.099998
2007-02-09 38.720001
2007-02-12 38.849998
2007-02-13 39.310001
2007-02-14 40.139999
2007-02-15 40.060001
2007-02-16 40.330002
2007-02-20 41.509998
2007-02-21 41.259998
2007-02-22 41
2007-02-23 40.779999
2007-02-26 40.880001
2007-02-27 38.830002
2007-02-28 39.139999
2007-03-01 38.849998
2007-03-02 37.689999
2007-03-05 37.049999
2007-03-06 38.580002
2007-03-07 38.360001
2007-03-08 38.099998
2007-03-09 38.84
2007-03-12 38.810001
2007-03-13 37.82
2007-03-14 38.080002
2007-03-15 37.779999
2007-03-16 37.849998
2007-03-19 38.450001
2007-03-20 38.580002
2007-03-21 39.799999
2007-03-22 39.490002
2007-03-23 38.98
2007-03-26 39.009998
2007-03-27 39.369999
2007-03-28 39.34
2007-03-29 39.810001
2007-03-30 39.790001
2007-04-02 40.419998
2007-04-03 41.189999
2007-04-04 41.529999
2007-04-05 41.68
2007-04-09 41.66
2007-04-10 41.860001
2007-04-11 41.68
2007-04-12 42.27
2007-04-13 42.41
2007-04-16 45.200001
2007-04-17 45.07
2007-04-18 44.990002
2007-04-19 44.639999
2007-04-20 44.950001
2007-04-23 44.77
2007-04-24 44.75
2007-04-25 56.810001
2007-04-26 62.779999
2007-04-27 62.599998
2007-04-30 61.330002
2007-05-01 62.040001
2007-05-02 61.18
2007-05-03 62.189999
2007-05-04 63.23
2007-05-07 60.82
2007-05-08 61.830002
2007-05-09 62.849998
2007-05-10 60.919998
2007-05-11 61.560001
2007-05-14 61.700001
2007-05-15 60.580002
2007-05-16 63.220001
2007-05-17 62.169998
2007-05-18 63.299999
2007-05-21 68.300003
2007-05-22 68.879997
2007-05-23 69
2007-05-24 69.349998
2007-05-25 68.550003
2007-05-29 69.629997
2007-05-30 69.860001
2007-05-31 69.139999
2007-06-01 68.580002
2007-06-04 70.419998
2007-06-05 73.650002
2007-06-06 72.290001
2007-06-07 72.040001
2007-06-08 73.239998
2007-06-11 71.169998
2007-06-12 70.07
2007-06-13 70.889999
2007-06-14 71.940002
2007-06-15 72.400002
2007-06-18 71.830002
2007-06-19 69.809998
2007-06-20 69.099998
2007-06-21 69.669998
2007-06-22 68.860001
2007-06-25 68.660004
2007-06-26 67.480003
2007-06-27 68.139999
2007-06-28 68.889999
2007-06-29 68.410004
2007-07-02 69.610001
2007-07-03 69.449997
2007-07-05 68.730003
2007-07-06 68.970001
2007-07-09 72.07
2007-07-10 70.279999
2007-07-11 70.730003
2007-07-12 72.790001
2007-07-13 75.099998
2007-07-16 73.690002
2007-07-17 73.790001
2007-07-18 73.32
2007-07-19 73.349998
2007-07-20 71.629997
2007-07-23 71.739998
2007-07-24 69.25
2007-07-25 86.18
2007-07-26 84.010002
2007-07-27 84.040001
2007-07-30 82.699997
2007-07-31 78.540001
2007-08-01 77.309998
2007-08-02 79.709999
2007-08-03 76.800003
2007-08-06 79
2007-08-07 79.139999
2007-08-08 77.779999
2007-08-09 74.110001
2007-08-10 74.779999
2007-08-13 74.870003
2007-08-14 73.449997
2007-08-15 72.379997
2007-08-16 72.790001
2007-08-17 75.019997
2007-08-20 74.699997
2007-08-21 77.489998
2007-08-22 78.5
2007-08-23 77.300003
2007-08-24 79.25
2007-08-27 78.650002
2007-08-28 76.220001
2007-08-29 79.050003
2007-08-30 78.68
2007-08-31 79.910004
2007-09-04 82.699997
2007-09-05 83.75
2007-09-06 86.209999
2007-09-07 84.519997
2007-09-10 83.339996
2007-09-11 86.279999
2007-09-12 87.300003
2007-09-13 87.260002
2007-09-14 87.769997
2007-09-17 86.910004
2007-09-18 88.75
2007-09-19 89
2007-09-20 89.650002
2007-09-21 91.300003
2007-09-24 92.589996
2007-09-25 93.480003
2007-09-26 93.43
2007-09-27 93.379997
2007-09-28 93.150002
2007-10-01 93.410004
2007-10-02 92.360001
2007-10-03 92.459999
2007-10-04 92.260002
2007-10-05 93.43
2007-10-08 95.849998
2007-10-09 95.32
2007-10-10 94.660004
2007-10-11 89.339996
2007-10-12 92.370003
2007-10-15 90.529999
2007-10-16 89.529999
2007-10-17 90.550003
2007-10-18 89.849998
2007-10-19 89.760002
2007-10-22 91.290001
2007-10-23 100.82
2007-10-24 88.730003
2007-10-25 88.209999
2007-10-26 90
2007-10-29 90.099998
2007-10-30 88.239998
2007-10-31 89.150002
2007-11-01 87.650002
2007-11-02 85.980003
2007-11-05 84.370003
2007-11-06 87.269997
2007-11-07 87.040001
2007-11-08 83.580002
2007-11-09 78.889999
2007-11-12 77
2007-11-13 79.860001
2007-11-14 78.510002
2007-11-15 77.849998
2007-11-16 78.599998
2007-11-19 79.18
2007-11-20 80.389999
2007-11-21 79.760002
2007-11-23 81.43
2007-11-26 81.300003
2007-11-27 85.589996
2007-11-28 90.300003
2007-11-29 89.150002
2007-11-30 90.559998
2007-12-03 90.910004
2007-12-04 94.410004
2007-12-05 93.190002
2007-12-06 94.209999
2007-12-07 94.309998
2007-12-10 93.019997
2007-12-11 90.75
2007-12-12 91.279999
2007-12-13 92.400002
2007-12-14 89.080002
2007-12-17 85.089996
2007-12-18 86.889999
2007-12-19 89.379997
2007-12-20 90.580002
2007-12-21 91.260002
