"Index" "F.Adjusted"
2007-01-03 5.918047
2007-01-04 6.067771
2007-01-05 6.004728
2007-01-08 6.091411
2007-01-09 6.138693
2007-01-10 6.091411
2007-01-11 6.122933
2007-01-12 6.217494
2007-01-16 6.256896
2007-01-17 6.335698
2007-01-18 6.446021
2007-01-19 6.540584
2007-01-22 6.627264
2007-01-23 6.540584
2007-01-24 6.461781
2007-01-25 6.477543
2007-01-26 6.635146
2007-01-29 6.595746
2007-01-30 6.461781
2007-01-31 6.40662
2007-02-01 6.532703
2007-02-02 6.485422
2007-02-05 6.564225
2007-02-06 6.729707
2007-02-07 6.745469
2007-02-08 6.737588
2007-02-09 6.879433
2007-02-12 6.816391
2007-02-13 6.658786
2007-02-14 6.706068
2007-02-15 6.776991
2007-02-16 6.721828
2007-02-20 6.816391
2007-02-21 6.674548
2007-02-22 6.579986
2007-02-23 6.540584
2007-02-26 6.509064
2007-02-27 6.130812
2007-02-28 6.233255
2007-03-01 6.122933
2007-03-02 5.981087
2007-03-05 5.973207
2007-03-06 6.020488
2007-03-07 6.004728
2007-03-08 6.249016
2007-03-09 6.249016
2007-03-12 6.162333
2007-03-13 6.020488
2007-03-14 5.918047
2007-03-15 5.981087
2007-03-16 5.949567
2007-03-19 6.162333
2007-03-20 6.209615
2007-03-21 6.312057
2007-03-22 6.367218
2007-03-23 6.217494
2007-03-26 6.201734
2007-03-27 6.185974
2007-03-28 6.288415
2007-03-29 6.264776
2007-03-30 6.217494
2007-04-02 6.375099
2007-04-03 6.367218
2007-04-04 6.335698
2007-04-05 6.312057
2007-04-09 6.367218
2007-04-10 6.453901
2007-04-11 6.40662
2007-04-12 6.375099
2007-04-13 6.319937
2007-04-16 6.327818
2007-04-17 6.185974
2007-04-18 6.162333
2007-04-19 6.099292
2007-04-20 6.107171
2007-04-23 6.170213
2007-04-24 6.162333
2007-04-25 6.209615
2007-04-26 6.461781
2007-04-27 6.343578
2007-04-30 6.335698
2007-05-01 6.343578
2007-05-02 6.43814
2007-05-03 6.453901
2007-05-04 6.477543
