"Index" "GOOG.Adjusted"
2007-01-03 233.561839
2007-01-04 241.389023
2007-01-05 243.352058
2007-01-08 241.54887
2007-01-09 242.507903
2007-01-10 244.485933
2007-01-11 249.610813
2007-01-12 252.248181
2007-01-16 251.888538
2007-01-17 248.392035
2007-01-18 243.671751
2007-01-19 244.630785
2007-01-22 240.180237
2007-01-23 239.286125
2007-01-24 249.286147
2007-01-25 243.801624
2007-01-26 247.672749
2007-01-29 245.989426
2007-01-30 246.913512
2007-01-31 250.499937
2007-02-01 240.634775
2007-02-02 240.509906
2007-02-05 233.347048
2007-02-06 235.504907
2007-02-07 234.770626
2007-02-08 235.280124
2007-02-09 230.714683
2007-02-12 228.916483
2007-02-13 229.321079
2007-02-14 232.732663
2007-02-15 230.504895
2007-02-16 234.735663
2007-02-20 235.814593
2007-02-21 237.692709
2007-02-22 237.687721
2007-02-23 235.075324
2007-02-26 232.233171
2007-02-27 224.161222
2007-02-28 224.500882
2007-03-01 223.891485
2007-03-02 219.12126
2007-03-05 220.255119
2007-03-06 228.546848
2007-03-07 227.592803
2007-03-08 227.133262
2007-03-09 226.254129
2007-03-12 227.148241
2007-03-13 221.294083
2007-03-14 223.776608
2007-03-15 222.872504
2007-03-16 220.205177
2007-03-19 223.391994
2007-03-20 222.417966
2007-03-21 228.047341
2007-03-22 230.789611
2007-03-23 230.684709
2007-03-26 232.268134
2007-03-27 231.578821
2007-03-28 230.70968
2007-03-29 230.230171
2007-03-30 228.851547
2007-04-02 229.036364
2007-04-03 236.064346
2007-04-04 235.275136
2007-04-05 235.519886
2007-04-09 233.871525
2007-04-10 233.017379
2007-04-11 232.033359
2007-04-12 233.461941
2007-04-13 232.912492
2007-04-16 236.89851
2007-04-17 236.164245
2007-04-18 237.767636
2007-04-19 235.58981
2007-04-20 240.999421
2007-04-23 239.301104
2007-04-24 238.526888
2007-04-25 238.756659
2007-04-26 240.350059
2007-04-27 239.266142
2007-04-30 235.45495
2007-05-01 234.266131
2007-05-02 232.657735
2007-05-03 236.379021
2007-05-04 235.325077
2007-05-07 233.401992
2007-05-08 233.172222
2007-05-09 234.391015
2007-05-10 230.504895
2007-05-11 233.13726
2007-05-14 230.659738
2007-05-15 228.771616
2007-05-16 236.069334
2007-05-17 235.245162
2007-05-18 234.925484
2007-05-21 235.065332
2007-05-22 237.692709
2007-05-23 236.748655
2007-05-24 236.928484
2007-05-25 241.518896
2007-05-29 243.312108
2007-05-30 249.051373
2007-05-31 248.706725
2007-06-01 249.950474
2007-06-04 253.282157
2007-06-05 259.161286
2007-06-06 258.866564
2007-06-07 257.273178
2007-06-08 257.487939
2007-06-11 255.41503
2007-06-12 252.133303
2007-06-13 252.368062
2007-06-14 251.169267
2007-06-15 252.692743
2007-06-18 257.343103
2007-06-19 256.898556
2007-06-20 254.730706
2007-06-21 256.798642
2007-06-22 262.228221
2007-06-25 263.447014
2007-06-26 264.865604
2007-06-27 262.882571
2007-06-28 262.243216
2007-06-29 261.089359
2007-07-02 264.925522
2007-07-03 266.903567
2007-07-05 270.544921
2007-07-06 269.431029
2007-07-09 271.00945
2007-07-10 271.399068
2007-07-11 271.963511
2007-07-12 272.393063
2007-07-13 275.804662
2007-07-16 276.21925
2007-07-17 277.223252
2007-07-18 274.47601
2007-07-19 274.021456
2007-07-20 259.800641
2007-07-23 255.99944
2007-07-24 256.743682
2007-07-25 254.625804
2007-07-26 253.746686
2007-07-27 255.689754
2007-07-30 257.797656
2007-07-31 254.745685
2007-08-01 256.214232
2007-08-02 255.250195
2007-08-03 251.249182
2007-08-06 254.745685
2007-08-07 257.752703
2007-08-08 262.627814
2007-08-09 257.108329
2007-08-10 257.617812
2007-08-13 257.492958
2007-08-14 254.046397
2007-08-15 248.526896
2007-08-16 245.514905
2007-08-17 249.77066
2007-08-20 248.711713
2007-08-21 253.052386
2007-08-22 256.119321
2007-08-23 255.839594
2007-08-24 257.243189
2007-08-27 256.374063
2007-08-28 252.947485
2007-08-29 256.184258
2007-08-30 255.444989
2007-08-31 257.368073
2007-09-04 262.31314
2007-09-05 263.636804
2007-09-06 261.498959
2007-09-07 259.416043
2007-09-10 256.983444
2007-09-11 260.40505
2007-09-12 261.064388
2007-09-13 262.128307
2007-09-14 264.11134
2007-09-17 262.388052
2007-09-18 267.368096
2007-09-19 273.152315
2007-09-20 276.13935
2007-09-21 279.770697
2007-09-24 283.726757
2007-09-25 284.216257
2007-09-26 283.796681
2007-09-27 283.467012
2007-09-28 283.352134
2007-10-01 290.984525
2007-10-02 291.903608
2007-10-03 291.718776
2007-10-04 289.22626
2007-10-05 296.728778
2007-10-08 304.506006
2007-10-09 307.283237
2007-10-10 312.383147
2007-10-11 310.689848
2007-10-12 318.377169
2007-10-15 309.745795
2007-10-16 307.692837
2007-10-17 316.424125
2007-10-18 319.491061
2007-10-19 322.033518
2007-10-22 325.050512
2007-10-23 337.548038
2007-10-24 337.573009
2007-10-25 333.921648
2007-10-26 336.963613
2007-10-29 339.276315
2007-10-30 347.038548
2007-10-31 353.147447
2007-11-01 351.254352
2007-11-02 355.270329
2007-11-05 362.463161
2007-11-06 370.525104
2007-11-07 366.104515
2007-11-08 346.574018
2007-11-09 331.65393
2007-11-12 315.719834
2007-11-13 329.945606
2007-11-14 320.520033
2007-11-15 314.511017
2007-11-16 316.499038
2007-11-19 312.612933
2007-11-20 323.946596
2007-11-21 329.930642
2007-11-23 338.012568
2007-11-26 332.667908
2007-11-27 336.449142
2007-11-28 345.784808
2007-11-29 348.152439
2007-11-30 346.154442
2007-12-03 340.425153
2007-12-04 341.738841
2007-12-05 348.906703
2007-12-06 357.273344
2007-12-07 357.078536
2007-12-10 358.851765
2007-12-11 349.251336
2007-12-12 349.326279
2007-12-13 346.67892
2007-12-14 344.635969
2007-12-17 334.281307
2007-12-18 336.339252
2007-12-19 338.347225
2007-12-20 344.501078
2007-12-21 347.997596
2007-12-24 350.015576
2007-12-26 355.065544
2007-12-27 350.020594
2007-12-28 350.914676
2007-12-31 345.39519
2008-01-02 342.253343
2008-01-03 342.323267
2008-01-04 328.172376
2008-01-07 324.301267
2008-01-08 315.525025
2008-01-09 326.274293
2008-01-10 323.042508
2008-01-11 318.806752
2008-01-14 326.583979
2008-01-15 318.507041
2008-01-16 307.667867
2008-01-17 300.095424
2008-01-18 299.825703
2008-01-22 291.883625
2008-01-23 274.03642
2008-01-24 286.958542
2008-01-25 282.917563
2008-01-28 277.712752
2008-01-29 274.985492
2008-01-30 273.861594
2008-01-31 281.868608
2008-02-01 257.692754
2008-02-04 247.467964
2008-02-05 253.147281
2008-02-06 250.604824
2008-02-07 252.22321
2008-02-08 258.08736
2008-02-11 260.320131
2008-02-12 258.786663
2008-02-13 267.043415
2008-02-14 265.859599
2008-02-15 264.555887
2008-02-19 254.221223
2008-02-20 254.246193
2008-02-21 251.179258
2008-02-22 253.646788
2008-02-25 242.977436
2008-02-26 231.863537
2008-02-27 236.194219
2008-02-28 237.45795
2008-02-29 235.355051
2008-03-03 228.282115
2008-03-04 222.078305
2008-03-05 223.626752
2008-03-06 216.13424
2008-03-07 216.458906
2008-03-10 206.603751
2008-03-11 219.700683
2008-03-12 219.870505
2008-03-13 221.284092
2008-03-14 218.741634
2008-03-17 209.725631
2008-03-18 219.361022
2008-03-19 215.784589
2008-03-20 216.55882
