"Index" "MSFT.Adjusted"
"2007-01-03" 22.672358
"2007-01-04" 22.634388
"2007-01-05" 22.505308
"2007-01-08" 22.725502
"2007-01-09" 22.748278
"2007-01-10" 22.520491
"2007-01-11" 23.31016
"2007-01-12" 23.697393
"2007-01-16" 23.65943
"2007-01-17" 23.613867
"2007-01-18" 23.537947
"2007-01-19" 23.621466
"2007-01-22" 23.325344
"2007-01-23" 23.340528
"2007-01-24" 23.606285
"2007-01-25" 23.120331
"2007-01-26" 23.23423
"2007-01-29" 23.181078
"2007-01-30" 23.143108
"2007-01-31" 23.431643
"2007-02-01" 23.203859
"2007-02-02" 22.922916
"2007-02-05" 22.482529
"2007-02-06" 22.406607
"2007-02-07" 22.300306
"2007-02-08" 22.216784
"2007-02-09" 22.004179
"2007-02-12" 21.97381
"2007-02-13" 22.103336
"2007-02-14" 22.400486
"2007-02-15" 22.446201
"2007-02-16" 21.897615
"2007-02-20" 21.966192
"2007-02-21" 22.362387
"2007-02-22" 22.392864
"2007-02-23" 22.019526
"2007-02-26" 22.149048
"2007-02-27" 21.234745
"2007-02-28" 21.463324
"2007-03-01" 21.402367
"2007-03-02" 21.15093
"2007-03-05" 20.990934
"2007-03-06" 21.204268
"2007-03-07" 21.036642
"2007-03-08" 20.815685
"2007-03-09" 20.792831
"2007-03-12" 20.90712
"2007-03-13" 20.35854
"2007-03-14" 20.876644
"2007-03-15" 20.785213
"2007-03-16" 20.823305
"2007-03-19" 21.204268
"2007-03-20" 21.211889
"2007-03-21" 21.73
"2007-03-22" 21.539515
"2007-03-23" 21.34903
"2007-03-26" 21.501421
"2007-03-27" 21.120453
"2007-03-28" 21.059504
"2007-03-29" 21.143316
"2007-03-30" 21.234745
"2007-04-02" 21.135687
"2007-04-03" 21.234745
"2007-04-04" 21.714762
"2007-04-05" 21.752855
"2007-04-09" 21.768097
"2007-04-10" 21.638571
"2007-04-11" 21.41761
"2007-04-12" 21.745234
"2007-04-13" 21.798563
"2007-04-16" 21.889996
"2007-04-17" 21.981426
"2007-04-18" 21.790945
"2007-04-19" 21.859524
"2007-04-20" 22.11096
"2007-04-23" 21.928093
"2007-04-24" 21.935717
"2007-04-25" 22.088097
"2007-04-26" 22.171907
"2007-04-27" 22.94907
"2007-04-30" 22.81192
"2007-05-01" 23.162409
"2007-05-02" 23.322412
"2007-05-03" 23.596697
"2007-05-04" 23.284311
"2007-05-07" 23.398602
"2007-05-08" 23.429083
"2007-05-09" 23.451937
"2007-05-10" 23.299555
"2007-05-11" 23.535749
"2007-05-14" 23.596697
"2007-05-15" 23.619635
"2007-05-16" 23.749575
"2007-05-17" 23.680782
"2007-05-18" 23.566124
"2007-05-21" 23.734289
"2007-05-22" 23.45911
"2007-05-23" 23.375029
"2007-05-24" 23.061625
"2007-05-25" 23.298586
"2007-05-29" 23.53554
"2007-05-30" 23.780157
"2007-05-31" 23.45911
"2007-06-01" 23.382669
"2007-06-04" 23.482038
"2007-06-05" 23.375029
"2007-06-06" 23.153355
"2007-06-07" 22.641211
"2007-06-08" 22.969904
"2007-06-11" 22.94697
"2007-06-12" 22.817028
"2007-06-13" 23.22979
"2007-06-14" 23.329163
"2007-06-15" 23.306231
"2007-06-18" 23.32152
"2007-06-19" 23.283297
"2007-06-20" 22.939329
"2007-06-21" 23.099846
"2007-06-22" 22.541838
"2007-06-25" 22.541838
"2007-06-26" 22.564774
"2007-06-27" 22.832312
"2007-06-28" 22.801737
"2007-06-29" 22.526556
"2007-07-02" 22.732944
"2007-07-03" 22.94697
"2007-07-05" 22.924038
"2007-07-06" 22.908751
"2007-07-09" 22.832312
"2007-07-10" 22.419538
"2007-07-11" 22.541838
"2007-07-12" 22.985186
"2007-07-13" 22.794094
"2007-07-16" 22.954615
"2007-07-17" 23.527903
"2007-07-18" 23.63492
"2007-07-19" 24.085909
"2007-07-20" 23.818373
"2007-07-23" 23.841305
"2007-07-24" 23.543192
"2007-07-25" 23.4744
"2007-07-26" 22.916393
"2007-07-27" 22.465401
"2007-07-30" 22.473053
"2007-07-31" 22.159647
"2007-08-01" 22.39661
"2007-08-02" 22.564774
"2007-08-03" 22.136724
"2007-08-06" 22.580069
"2007-08-07" 22.587708
"2007-08-08" 22.931677
"2007-08-09" 22.39661
"2007-08-10" 21.94562
"2007-08-13" 21.884466
"2007-08-14" 21.685032
"2007-08-15" 21.554634
"2007-08-16" 21.332184
"2007-08-17" 21.669689
"2007-08-20" 21.677361
"2007-08-21" 21.531614
"2007-08-22" 21.646679
"2007-08-23" 21.708042
"2007-08-24" 22.099253
"2007-08-27" 21.85379
"2007-08-28" 21.424231
"2007-08-29" 21.93049
"2007-08-30" 21.823099
"2007-08-31" 22.037878
"2007-09-04" 22.099253
"2007-09-05" 21.846113
"2007-09-06" 22.175951
"2007-09-07" 21.81543
"2007-09-10" 21.846113
"2007-09-11" 22.191296
"2007-09-12" 22.191296
"2007-09-13" 22.367722
"2007-09-14" 22.275673
"2007-09-17" 22.037878
"2007-09-18" 22.191296
"2007-09-19" 21.991858
"2007-09-20" 21.800093
"2007-09-21" 21.976517
"2007-09-24" 22.306355
"2007-09-25" 22.674545
"2007-09-26" 22.628527
"2007-09-27" 22.620855
"2007-09-28" 22.597847
"2007-10-01" 22.835638
"2007-10-02" 22.78194
"2007-10-03" 22.590178
"2007-10-04" 22.789614
"2007-10-05" 22.889324
"2007-10-08" 22.889324
"2007-10-09" 23.08877
"2007-10-10" 23.188484
"2007-10-11" 22.943027
"2007-10-12" 23.142458
"2007-10-15" 23.042744
"2007-10-16" 23.257524
"2007-10-17" 23.840492
"2007-10-18" 23.901863
"2007-10-19" 23.142458
"2007-10-22" 23.403259
"2007-10-23" 23.702421
"2007-10-24" 23.970896
"2007-10-25" 24.538528
"2007-10-26" 26.870413
"2007-10-29" 26.517563
"2007-10-30" 27.284632
"2007-10-31" 28.2358
"2007-11-01" 28.427563
"2007-11-02" 28.427563
"2007-11-05" 28.174435
"2007-11-06" 27.928965
"2007-11-07" 27.246283
"2007-11-08" 26.647968
"2007-11-09" 25.873228
"2007-11-12" 25.604752
"2007-11-13" 26.520578
"2007-11-14" 26.112688
"2007-11-15" 25.981855
"2007-11-16" 26.23583
"2007-11-19" 26.135777
"2007-11-20" 26.612928
"2007-11-21" 26.343573
"2007-11-23" 26.251215
"2007-11-26" 25.373867
"2007-11-27" 25.443138
"2007-11-28" 25.93568
"2007-11-29" 25.851021
"2007-11-30" 25.858721
"2007-12-03" 25.335382
"2007-12-04" 25.21995
"2007-12-05" 26.282
"2007-12-06" 26.589848
"2007-12-07" 26.574453
"2007-12-10" 26.751461
"2007-12-11" 26.243513
"2007-12-12" 26.528276
"2007-12-13" 27.105476
"2007-12-14" 27.174746
"2007-12-17" 26.466702
"2007-12-18" 26.736073
"2007-12-19" 26.774549
"2007-12-20" 27.336367
"2007-12-21" 27.751947
"2007-12-24" 28.152143
"2007-12-26" 28.175238
"2007-12-27" 27.68269
"2007-12-28" 27.798119
"2007-12-31" 27.397928
"2008-01-02" 27.105476
"2008-01-03" 27.220922
"2008-01-04" 26.459013
"2008-01-07" 26.636023
"2008-01-08" 25.743277
"2008-01-09" 26.505178
"2008-01-10" 26.420536
"2008-01-11" 26.097298
"2008-01-14" 26.466702
"2008-01-15" 26.166557
"2008-01-16" 25.573969
"2008-01-17" 25.481611
"2008-01-18" 25.404654
"2008-01-22" 24.596565
"2008-01-23" 24.573483
"2008-01-24" 25.589365
"2008-01-25" 25.350777
"2008-01-28" 25.181469
"2008-01-29" 25.089111
"2008-01-30" 24.781275
"2008-01-31" 25.089111
"2008-02-01" 23.434464
"2008-02-04" 23.23436
"2008-02-05" 22.37241
"2008-02-06" 21.949131
"2008-02-07" 21.641287
"2008-02-08" 21.979912
"2008-02-11" 21.71055
"2008-02-12" 21.810596
"2008-02-13" 22.28776
"2008-02-14" 21.933741
"2008-02-15" 21.872169
"2008-02-19" 21.763996
"2008-02-20" 21.802635
"2008-02-21" 21.709927
"2008-02-22" 21.385429
"2008-02-25" 21.509045
"2008-02-26" 21.926254
"2008-02-27" 21.833538
"2008-02-28" 21.578583
"2008-02-29" 21.014587
"2008-03-03" 20.852335
"2008-03-04" 21.315907
"2008-03-05" 21.725374
"2008-03-06" 21.300455
"2008-03-07" 21.532227
"2008-03-10" 21.671291
"2008-03-11" 22.621584
"2008-03-12" 22.119398
"2008-03-13" 22.111668
"2008-03-14" 21.601757
"2008-03-17" 21.864439
"2008-03-18" 22.729746
"2008-03-19" 22.111668
"2008-03-20" 22.544329
"2008-03-24" 22.536596
"2008-03-25" 22.513422
"2008-03-26" 22.065315
"2008-03-27" 21.671291
"2008-03-28" 21.563124
"2008-03-31" 21.926254
"2008-04-01" 22.791557
"2008-04-02" 22.528873
"2008-04-03" 22.405254
"2008-04-04" 22.528873
"2008-04-07" 22.528873
"2008-04-08" 22.212107
"2008-04-09" 22.320276
"2008-04-10" 22.490242
"2008-04-11" 21.848986
"2008-04-14" 21.679024
"2008-04-15" 21.825811
"2008-04-16" 22.366627
"2008-04-17" 22.575233
"2008-04-18" 23.177845
"2008-04-21" 23.502346
"2008-04-22" 23.371004
"2008-04-23" 24.298113
"2008-04-24" 24.568521
"2008-04-25" 23.046511
"2008-04-28" 22.397532
"2008-04-29" 22.127123
"2008-04-30" 22.034414
"2008-05-01" 22.714296
"2008-05-02" 22.590681
"2008-05-05" 22.467064
"2008-05-06" 22.946075
"2008-05-07" 22.567501
"2008-05-08" 22.613861
"2008-05-09" 22.706566
"2008-05-12" 23.170124
"2008-05-13" 23.092587
"2008-05-14" 23.208897
"2008-05-15" 23.612123
"2008-05-16" 23.255424
"2008-05-19" 22.84444
"2008-05-20" 22.301634
"2008-05-21" 21.906166
"2008-05-22" 22.076757
"2008-05-23" 21.751072
"2008-05-27" 22.05349
"2008-05-28" 21.851881
"2008-05-29" 21.952686
"2008-05-30" 21.960442
"2008-06-02" 21.557213
"2008-06-03" 21.177242
"2008-06-04" 21.355602
"2008-06-05" 21.944931
"2008-06-06" 21.316833
"2008-06-09" 21.487423
"2008-06-10" 21.626999
"2008-06-11" 21.029913
"2008-06-12" 21.898413
"2008-06-13" 22.542019
"2008-06-16" 22.43346
"2008-06-17" 22.332655
"2008-06-18" 22.069
"2008-06-19" 22.43346
"2008-06-20" 21.890654
"2008-06-23" 21.689045
"2008-06-24" 21.502932
"2008-06-25" 21.983706
"2008-06-26" 21.518442
"2008-06-27" 21.42539
"2008-06-30" 21.332335
"2008-07-01" 20.836054
"2008-07-02" 20.068367
"2008-07-03" 20.145918
"2008-07-07" 20.184687
"2008-07-08" 20.045111
"2008-07-09" 19.564337
"2008-07-10" 19.734934
"2008-07-11" 19.579838
"2008-07-14" 19.502296
"2008-07-15" 20.277737
"2008-07-16" 21.138481
"2008-07-17" 21.340097
"2008-07-18" 20.052864
"2008-07-21" 19.882275
"2008-07-22" 20.006336
"2008-07-23" 20.494865
"2008-07-24" 19.727177
"2008-07-25" 20.285492
"2008-07-28" 19.773701
"2008-07-29" 20.246719
"2008-07-30" 20.339769
"2008-07-31" 19.944298
"2008-08-01" 19.727177
"2008-08-04" 19.603109
"2008-08-05" 20.324266
"2008-08-06" 20.952364
"2008-08-07" 21.239285
"2008-08-08" 21.81311
"2008-08-11" 21.634756
"2008-08-12" 21.805359
"2008-08-13" 21.642511
"2008-08-14" 21.642511
"2008-08-15" 21.564964
"2008-08-18" 21.471916
"2008-08-19" 21.269495
"2008-08-20" 21.246143
"2008-08-21" 21.160494
"2008-08-22" 21.674334
"2008-08-25" 21.534201
"2008-08-26" 21.23057
"2008-08-27" 21.456347
"2008-08-28" 21.752188
"2008-08-29" 21.246143
"2008-09-02" 21.098215
"2008-09-03" 20.942514
"2008-09-04" 20.51432
"2008-09-05" 19.969345
"2008-09-08" 20.335258
"2008-09-09" 20.319689
"2008-09-10" 20.584383
"2008-09-11" 21.285067
"2008-09-12" 21.503059
"2008-09-15" 20.88023
"2008-09-16" 20.234045
"2008-09-17" 19.128529
"2008-09-18" 19.665722
"2008-09-19" 19.587868
"2008-09-22" 19.77471
"2008-09-23" 19.805857
"2008-09-24" 20.023842
"2008-09-25" 20.716738
"2008-09-26" 21.331776
"2008-09-29" 19.471088
"2008-09-30" 20.779022
"2008-10-01" 20.615524
