"Index" "YHOO.Adjusted"
2007-01-03 25.610001
2007-01-04 26.85
2007-01-05 27.74
2007-01-08 27.92
2007-01-09 27.58
2007-01-10 28.700001
2007-01-11 29.200001
2007-01-12 29.450001
2007-01-16 29.290001
2007-01-17 29.049999
2007-01-18 28.120001
2007-01-19 27.639999
2007-01-22 27.42
2007-01-23 26.959999
2007-01-24 28.940001
2007-01-25 28.209999
2007-01-26 28.040001
2007-01-29 27.870001
2007-01-30 28.040001
2007-01-31 28.309999
2007-02-01 28.35
2007-02-02 28.77
2007-02-05 28.559999
2007-02-06 29.35
2007-02-07 29.889999
2007-02-08 30.08
2007-02-09 29.74
2007-02-12 29.17
2007-02-13 29.559999
2007-02-14 30.66
2007-02-15 31.25
2007-02-16 31.91
2007-02-20 32.009998
2007-02-21 31.65
2007-02-22 31.6
2007-02-23 32.099998
2007-02-26 32.110001
2007-02-27 30.950001
2007-02-28 30.860001
2007-03-01 30.860001
2007-03-02 30.42
2007-03-05 30.309999
2007-03-06 30.799999
2007-03-07 30.389999
2007-03-08 30.709999
2007-03-09 29.120001
2007-03-12 29.99
2007-03-13 29.559999
2007-03-14 29.860001
2007-03-15 30.059999
2007-03-16 29.879999
2007-03-19 30.030001
2007-03-20 30.33
2007-03-21 31.290001
2007-03-22 31.26
2007-03-23 31.360001
2007-03-26 31.66
2007-03-27 31.549999
2007-03-28 31.41
2007-03-29 31.34
2007-03-30 31.290001
2007-04-02 31.280001
2007-04-03 31.719999
2007-04-04 31.620001
2007-04-05 31.959999
2007-04-09 31.639999
2007-04-10 31.690001
2007-04-11 31.17
2007-04-12 31.209999
2007-04-13 31.41
2007-04-16 31.610001
2007-04-17 32.09
2007-04-18 28.309999
2007-04-19 27.51
2007-04-20 27.459999
2007-04-23 27.879999
2007-04-24 28.02
2007-04-25 28.059999
2007-04-26 28.49
2007-04-27 28.34
2007-04-30 28.040001
2007-05-01 27.73
2007-05-02 28.120001
2007-05-03 28.18
2007-05-04 30.98
2007-05-07 30.379999
2007-05-08 30.41
2007-05-09 30.219999
2007-05-10 29.700001
2007-05-11 30.049999
2007-05-14 29.309999
2007-05-15 28.809999
2007-05-16 29.209999
2007-05-17 28.57
2007-05-18 29.75
2007-05-21 29.35
2007-05-22 28.92
2007-05-23 28.610001
2007-05-24 28.41
2007-05-25 28.58
2007-05-29 28.4
2007-05-30 28.379999
2007-05-31 28.700001
2007-06-01 28.780001
2007-06-04 28.59
2007-06-05 28.23
2007-06-06 27.440001
2007-06-07 26.98
2007-06-08 27.389999
2007-06-11 27.35
2007-06-12 27.049999
2007-06-13 27.379999
2007-06-14 27.299999
2007-06-15 27.309999
2007-06-18 28.120001
2007-06-19 27.629999
2007-06-20 27.66
2007-06-21 27.67
2007-06-22 27.379999
2007-06-25 27.639999
