Date APPLE AMAZON FORD GOOGLE MICROSOFT VOLKSWAGEN
2007-01-03 10.416352 38.700001 5.177414 232.921951 22.3216 NA
2007-01-04 10.647548 38.900002 5.3084 240.727692 22.284214 NA
2007-01-05 10.571726 38.369999 5.253247 242.685349 22.157139 NA
2007-01-08 10.623935 37.5 5.329082 240.8871 22.373922 NA
2007-01-09 11.506466 37.779999 5.370447 241.843506 22.396347 NA
2007-01-10 12.057114 37.150002 5.329082 243.816116 22.172092 NA
2007-01-11 11.907951 37.400002 5.356659 248.926956 22.949533 NA
2007-01-12 11.761279 38.200001 5.439386 251.557098 23.330782 NA
2007-01-16 12.069544 38.66 5.473857 251.198441 23.293406 NA
2007-01-17 11.802299 37.880001 5.542797 247.711517 23.248545 NA
2007-01-18 11.071415 36.98 5.639313 243.004166 23.173794 NA
2007-01-19 11.000564 37.02 5.722042 243.960571 23.256025 NA
2007-01-22 10.788009 36.950001 5.797876 239.522217 22.964483 NA
2007-01-23 10.652524 36.43 5.722042 238.630554 22.979435 NA
2007-01-24 10.776822 37.259998 5.653102 248.60318 23.241077 NA
2007-01-25 10.720886 37.080002 5.666891 243.133682 22.762644 NA
2007-01-26 10.612743 36.849998 5.80477 246.994202 22.874784 NA
2007-01-29 10.682353 37.43 5.770301 245.315491 22.822451 NA
2007-01-30 10.633876 37.049999 5.653102 246.237045 22.78507 NA
2007-01-31 10.656251 37.669998 5.604844 249.813644 23.069138 NA
2007-02-01 10.533192 38.700001 5.715147 239.97551 22.844875 NA
2007-02-02 10.534437 37.389999 5.673783 239.850983 22.568281 NA
2007-02-05 10.433752 37.16 5.742724 232.707748 22.13471 NA
2007-02-06 10.459856 38.27 5.887499 234.859695 22.059959 NA
2007-02-07 10.708457 38.98 5.901287 234.127426 21.955303 NA
2007-02-08 10.712186 39.099998 5.894392 234.635529 21.87307 NA
2007-02-09 10.350472 38.720001 6.018484 230.082596 21.663759 NA
2007-02-12 10.550594 38.849998 5.963331 228.289322 21.633867 NA
2007-02-13 10.528221 39.310001 5.825452 228.69281 21.761383 NA
2007-02-14 10.602801 40.139999 5.866817 232.095047 22.053936 NA
2007-02-15 10.591615 40.060001 5.928864 229.873383 22.09894 NA
2007-02-16 10.54438 40.330002 5.880606 234.09256 21.558842 NA
2007-02-20 10.677382 41.509998 5.963331 235.168533 21.62636 NA
2007-02-21 11.08757 41.259998 5.839242 237.041504 22.01643 NA
2007-02-22 11.126102 41 5.756512 237.03653 22.046431 NA
2007-02-23 11.071415 40.779999 5.722042 234.43129 21.678867 NA
2007-02-26 11.001805 40.880001 5.694465 231.596924 21.806389 NA
2007-02-27 10.43251 38.830002 5.363553 223.547089 20.906231 NA
2007-02-28 10.517034 39.139999 5.453175 223.885818 21.131269 NA
2007-03-01 10.82157 38.849998 5.356659 223.278091 21.071262 NA
2007-03-02 10.616474 37.689999 5.232566 218.520935 20.823717 NA
2007-03-05 10.729586 37.049999 5.225673 219.651688 20.666187 NA
2007-03-06 10.96203 38.580002 5.267036 227.9207 20.876226 NA
2007-03-07 10.903606 38.360001 5.253247 226.969269 20.711195 NA
2007-03-08 10.938412 38.099998 5.466962 226.510986 20.49366 NA
2007-03-09 10.93468 38.84 5.466962 225.634262 20.471153 NA
2007-03-12 11.170854 38.810001 5.391129 226.525925 20.583672 NA
2007-03-13 10.988131 37.82 5.267036 220.687805 20.043577 NA
2007-03-14 11.187015 38.080002 5.177414 223.163528 20.553669 NA
2007-03-15 11.133562 37.779999 5.232566 222.261902 20.463648 NA
