age height measurement
24.4 32.7 A
13.6 26 A
15.4 27.9 A
21.2 35.4 A
19.8 26.4 B
7.7 7.2 B
5.1 7 A
14.2 25 A
21.7 34 A
23.1 39.5 A
19.1 32.8 A
20.9 26.2 B
24.5 38.4 A
18.1 28.4 A
14.5 23.1 A
20.4 22.9 B
6.6 12.1 A
18.6 19.4 B
14.6 15.1 B
23.4 25 B
5.1 7.2 A
15.6 17.7 B
19.4 29.2 A
7.8 10.2 A
5.7 11.1 A
19.6 17.5 B
12.8 20.1 A
16 19.8 B
20.6 19.4 B
12.9 21.7 B
15.7 14.2 B
23.3 33.6 A
14.2 19.6 A
22.3 21.6 B
19.9 24.2 B
20.9 18.9 B
6.1 9 B
16.2 23.6 A
19.4 25.5 B
7.3 14 A
10.2 16 B
7.2 6.5 B
22.8 34.3 A
23.1 36.1 A
10.7 13.4 A
20.5 22.7 B
11.5 17.6 B
17 18.9 B
13.7 25 A
5.6 4.4 B
24.8 40.1 A
13.9 26.3 A
21.6 35 A
7.7 15.6 A
8.9 9.2 B
21.5 21 B
19.8 32.8 A
12.6 26 A
8.8 9.1 B
13.2 12.2 B
17.4 27.6 A
15.3 27.4 A
11.3 22.3 B
7.6 8.3 B
23.9 34 A
13.5 17 B
24.2 32.3 A
6.4 5.2 B
23.7 32.6 A
23.4 22.9 B
11.3 14.2 B
10.8 13.3 B
8.6 9 B
20.7 19.8 B
19.9 18.9 B
18.6 21.8 B
17.8 27.9 A
14 16 B
23.7 34.4 A
23.7 23.2 B
16.8 14.1 B
12.8 22.7 A
19.7 34 A
21.7 32.6 A
19.6 18.8 B
8.7 10.8 B
8.9 10.4 B
7.6 7.1 B
17.2 26.9 A
7.3 3.9 B
23.1 39 A
24.6 34.6 A
7.7 9.2 B
10.1 10.3 A
23.8 35.9 A
7.7 7.4 B
17.8 31.6 A
13.3 17 B
18.7 21.8 A
9.2 17.4 A
